% Model:              hexGeModeAnalysisv2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 16 2024, 16:32
% Table:              Table 85 - data_to_export
% omega (GHz)                                     Out-of-plane wave number (rad/m)                  N^2 (m^2)                                         wxy (1)                                           wxz (1)                                           wyz (1)                                           mode (m^2)
0.1                                               126661.31008129727-1.4716822711416232E-7i         3.000000033111305                                 0.011527665034956698+2.3847331871565372E-5i       -3.024293357181278E-7+1.8300460300215906E-6i      -1.0889249000887931E-7+8.84168780139058E-7i       4
0.1                                               -126661.31008129727-1.4716822711416232E-7i        3.000000033111305                                 0.011527665034956698-2.3847331871565372E-5i       -3.024293357181278E-7-1.8300460300215906E-6i      -1.0889249000887931E-7-8.84168780139058E-7i       4
0.1                                               232460.9301202456-2.5316674370085833E-8i          2.909655520703708                                 -1.3927562194118387E8-15158.105776312359i         -2.656874130564974E-7+0.0025214319268305457i      -5.946032900989498E-7+0.0039916799719544515i      6
0.1                                               -232460.9301202456-2.5316674370085833E-8i         2.909655520703708                                 -1.3927562194118387E8+15158.105776312359i         -2.656874130564974E-7-0.0025214319268305457i      -5.946032900989498E-7-0.0039916799719544515i      6
0.1                                               3828454.734741144+4.526326035015061E-5i           2.9999111513072454                                -0.007930226493137222-1.2340935066891678E-4i      -1758.0179347985459+6615948.3806956075i           -2.104588753394518+49.35547502429257i             7
0.1                                               -3828454.734741144+4.526326035015061E-5i          2.9999111513072454                                -0.007930226493137222+1.2340935066891678E-4i      -1758.0179347985459-6615948.3806956075i           -2.104588753394518-49.35547502429257i             7
0.1                                               3829304.9890813343-6.66183831724315E-5i           2.9998852863903913                                -0.0172199293968158+1.602382633303046E-4i         0.4511642058751293+11.648631017729874i            1019.2118237572874+6614042.63771095i              8
0.1                                               -3829304.9890813343-6.66183831724315E-5i          2.9998852863903913                                -0.0172199293968158-1.602382633303046E-4i         0.4511642058751293-11.648631017729874i            1019.2118237572874-6614042.63771095i              8
0.15000000000000005                               189991.9765452481+3.520459021497956E-8i           3.0000000745005253                                0.0012327660855496704-1.3466994841976568E-4i      -4.1626437487952933E-10-1.8775153083264965E-6i    1.6024011115474918E-7-1.9927849579003907E-6i      4
0.15000000000000005                               -189991.9765452481+3.520459021497956E-8i          3.0000000745005253                                0.0012327660855496704+1.3466994841976568E-4i      -4.1626437487952933E-10+1.8775153083264965E-6i    1.6024011115474918E-7+1.9927849579003907E-6i      4
0.15000000000000005                               348691.3735498336-3.7921162601476466E-8i          2.909655449322935                                 -1.3927559957673135E8-22736.95142694527i          -2.5518350166631003E-7+0.0024758305538325506i     -1.2748602464302926E-6+0.007177385604276968i      6
0.15000000000000005                               -348691.3735498336-3.7921162601476466E-8i         2.909655449322935                                 -1.3927559957673135E8+22736.95142694527i          -2.5518350166631003E-7-0.0024758305538325506i     -1.2748602464302926E-6-0.007177385604276968i      6
0.15000000000000005                               4691398.003148718-8.126869434711644E-6i           2.999866978733529                                 -0.00562877003405874+1.2293134638305048E-4i       -2635.6797425363043+8097975.900390143i            0.09803423239542589-4.289365429741657i            7
0.15000000000000005                               -4691398.003148718-8.126869434711644E-6i          2.999866978733529                                 -0.00562877003405874-1.2293134638305048E-4i       -2635.6797425363043-8097975.900390143i            0.09803423239542589+4.289365429741657i            7
0.15000000000000005                               4692960.0751323905+6.677247105251618E-5i          2.9998282679882933                                -0.015437889390302606-1.2796890395552868E-4i      -2.977774910225573-7.776910626965511i             1528.5872221594436+8094486.67483728i              8
0.15000000000000005                               -4692960.0751323905+6.677247105251618E-5i         2.9998282679882933                                -0.015437889390302606+1.2796890395552868E-4i      -2.977774910225573+7.776910626965511i             1528.5872221594436-8094486.67483728i              8
0.2                                               253322.65686004024+1.9821527084231876E-7i         3.0000001324456007                                -3.919500060898572E-4+1.0216948300475937E-6i      -9.318057523571705E-8+3.5614596053219856E-7i      -1.1568023912807928E-7-3.294126290996777E-7i      4
0.2                                               -253322.65686004024+1.9821527084231876E-7i        3.0000001324456007                                -3.919500060898572E-4-1.0216948300475937E-6i      -9.318057523571705E-8-3.5614596053219856E-7i      -1.1568023912807928E-7+3.294126290996777E-7i      4
0.2                                               464921.7919836367-9.100629189240171E-8i           2.9096553494288573                                -1.3927556826754087E8-30315.593500642353i         -6.714178555619187E-7+0.0031579798797462394i      -2.133914577763384E-6+0.009388320286065717i       6
0.2                                               -464921.7919836367-9.100629189240171E-8i          2.9096553494288573                                -1.3927556826754087E8+30315.593500642353i         -6.714178555619187E-7-0.0031579798797462394i      -2.133914577763384E-6-0.009388320286065717i       6
0.2                                               5420066.107007999+3.0213844906458853E-5i          2.999822973057102                                 -0.0025414472779701222+4.2862488600167315E-5i     -3507.465015670809+9345132.74634353i              -0.5070081538622246-0.16406350561942884i          7
0.2                                               -5420066.107007999+3.0213844906458853E-5i         2.999822973057102                                 -0.0025414472779701222-4.2862488600167315E-5i     -3507.465015670809-9345132.74634353i              -0.5070081538622246+0.16406350561942884i          7
0.2                                               5422471.185292832+5.472539693519579E-7i           2.999771473313928                                 -0.019079522718833137-4.698738487516561E-5i       0.13160969456867538+3.8315845334716068i           2028.8459741345644+9339778.936416319i             8
0.2                                               -5422471.185292832+5.472539693519579E-7i          2.999771473313928                                 -0.019079522718833137+4.698738487516561E-5i       0.13160969456867538-3.8315845334716068i           2028.8459741345644-9339778.936416319i             8
0.25                                              316653.3558432536-1.5444905083446912E-7i          3.0000002069467175                                -2.655314494327451E-4-5.750536574591389E-5i       -1.4377885383395468E-7+8.084463743091884E-7i      -2.3223557289427912E-7+1.650120641013984E-7i      4
0.25                                              -316653.3558432536-1.5444905083446912E-7i         3.0000002069467175                                -2.655314494327451E-4+5.750536574591389E-5i       -1.4377885383395468E-7-8.084463743091884E-7i      -2.3223557289427912E-7-1.650120641013984E-7i      4
0.25                                              581152.1768627631+6.723966944347555E-8i           2.909655220990016                                 -1.3927552801297382E8-37893.939280466555i         -9.855989316829133E-7+0.0037727347352257043i      -3.2216360727071312E-6+0.011548624743746724i      6
0.25                                              -581152.1768627631+6.723966944347555E-8i          2.909655220990016                                 -1.3927552801297382E8+37893.939280466555i         -9.855989316829133E-7-0.0037727347352257043i      -3.2216360727071312E-6-0.011548624743746724i      6
0.25                                              6063066.496186591+3.065342674473099E-5i           2.99977913302134                                  -0.005041233778920909-2.5905969465737208E-5i      -4377.254334452777+1.0441935083146257E7i          -0.06588601047407425+0.5539854330251551i          7
0.25                                              -6063066.496186591+3.065342674473099E-5i          2.99977913302134                                  -0.005041233778920909+2.5905969465737208E-5i      -4377.254334452777-1.0441935083146257E7i          -0.06588601047407425-0.5539854330251551i          7
0.25                                              6066427.844208-4.469371292908962E-6i              2.9997149006340966                                -0.023129008193833483+6.63004571772226E-5i        0.416872041842176+1.9793586921622823i             2529.3713975850637+1.043447822078324E7i           8
0.25                                              -6066427.844208-4.469371292908962E-6i             2.9997149006340966                                -0.023129008193833483-6.63004571772226E-5i        0.416872041842176-1.9793586921622823i             2529.3713975850637-1.043447822078324E7i           8
0.3000000000000001                                379984.0780773409-9.719165504879847E-8i           3.000000298004052                                 5.621386025567644E-4+5.885565148829197E-5i        -6.158189183705927E-8-6.47084901704681E-7i        -1.7160917097862012E-7-5.361949064169918E-7i      4
0.3000000000000001                                -379984.0780773409-9.719165504879847E-8i          3.000000298004052                                 5.621386025567644E-4-5.885565148829197E-5i        -6.158189183705927E-8+6.47084901704681E-7i        -1.7160917097862012E-7+5.361949064169918E-7i      4
0.3000000000000001                                697382.5195192954-1.206920280579467E-7i           2.9096550640006567                                -1.3927547881303948E8-45471.90648811278i          -1.470924600105929E-6+0.00429648757124536i        -3.9631868045448E-6+0.01389719120082619i          6
0.3000000000000001                                -697382.5195192954-1.206920280579467E-7i          2.9096550640006567                                -1.3927547881303948E8+45471.90648811278i          -1.470924600105929E-6-0.00429648757124536i        -3.9631868045448E-6-0.01389719120082619i          6
0.3000000000000001                                6645313.9010972865+8.709771634777211E-7i          2.9997354576210875                                -0.004766081844569707-3.0266753936256065E-5i      -5243.525814673203+1.1431757322631853E7i          -0.11297850197077655-0.5674560067273569i          7
